match_id,date,season_id,home,away,home_goals,away_goals,home_xg,away_xg
sr:sport_event:48855989,2024-06-10T19:00:00+00:00,sr:season:112442,Ghana,Central African Republic,4,3,0.0,0.0
sr:sport_event:48856099,2025-03-21T19:00:00+00:00,sr:season:112442,Ghana,Chad,5,0,0.0,0.0
sr:sport_event:48856109,2025-03-24T19:00:00+00:00,sr:season:112442,Madagascar,Ghana,0,3,0.0,0.0
sr:sport_event:50107161,2024-06-05T19:00:00+00:00,sr:season:112442,Tunisia,Equatorial Guinea,1,0,0.0,0.0
sr:sport_event:52772385,2024-09-06T00:00:00+00:00,sr:season:109025,Argentina,Chile,3,0,1.926,0.463
sr:sport_event:52772387,2024-09-06T23:30:00+00:00,sr:season:109025,Uruguay,Paraguay,0,0,0.743,0.618
sr:sport_event:52772389,2024-09-07T01:00:00+00:00,sr:season:109025,Brazil,Ecuador,1,0,0.55,0.817
sr:sport_event:52772391,2024-09-07T01:30:00+00:00,sr:season:109025,Peru,Colombia,1,1,1.364,1.813
sr:sport_event:52772393,2024-09-10T20:30:00+00:00,sr:season:109025,Colombia,Argentina,2,1,0.873,1.343
sr:sport_event:52772395,2024-09-10T21:00:00+00:00,sr:season:109025,Ecuador,Peru,1,0,1.266,0.066
sr:sport_event:52772399,2024-09-10T22:00:00+00:00,sr:season:109025,Venezuela,Uruguay,0,0,1.085,0.419
sr:sport_event:52772401,2024-09-11T00:30:00+00:00,sr:season:109025,Paraguay,Brazil,1,0,0.681,0.663
sr:sport_event:53433411,2024-10-11T02:00:00+00:00,sr:season:121357,New Zealand,Tahiti,0,0,0.0,0.0
sr:sport_event:53433441,2024-11-15T06:30:00+00:00,sr:season:121357,New Zealand,Vanuatu,0,0,0.0,0.0
sr:sport_event:53437569,2024-11-18T06:30:00+00:00,sr:season:121357,Samoa,New Zealand,0,0,0.0,0.0
sr:sport_event:53624645,2024-10-10T20:00:00+00:00,sr:season:109025,Bolivia,Colombia,1,0,0.901,2.025
sr:sport_event:53624647,2024-10-10T21:00:00+00:00,sr:season:109025,Ecuador,Paraguay,0,0,1.502,0.323
sr:sport_event:53624649,2024-10-10T21:30:00+00:00,sr:season:109025,Venezuela,Argentina,1,1,1.709,0.965
sr:sport_event:53624651,2024-10-11T00:00:00+00:00,sr:season:109025,Chile,Brazil,1,2,0.827,1.387
sr:sport_event:53624653,2024-10-12T01:30:00+00:00,sr:season:109025,Peru,Uruguay,1,0,0.993,0.326
sr:sport_event:53624655,2024-10-15T20:30:00+00:00,sr:season:109025,Colombia,Chile,4,0,1.533,0.478
sr:sport_event:53624657,2024-10-15T23:00:00+00:00,sr:season:109025,Paraguay,Venezuela,2,1,1.381,0.472
sr:sport_event:53624659,2024-10-15T23:30:00+00:00,sr:season:109025,Uruguay,Ecuador,0,0,1.193,0.603
sr:sport_event:53624661,2024-10-16T00:00:00+00:00,sr:season:109025,Argentina,Bolivia,6,0,2.507,0.167
sr:sport_event:53624663,2024-10-16T00:45:00+00:00,sr:season:109025,Brazil,Peru,4,0,1.851,0.212
sr:sport_event:54504391,2024-11-14T23:30:00+00:00,sr:season:109025,Paraguay,Argentina,2,1,1.325,0.913
sr:sport_event:54622885,2024-11-15T00:00:00+00:00,sr:season:109025,Ecuador,Bolivia,4,0,3.037,0.08
sr:sport_event:54622887,2024-11-16T00:00:00+00:00,sr:season:109025,Uruguay,Colombia,3,2,1.451,1.45
sr:sport_event:54622891,2024-11-14T21:00:00+00:00,sr:season:109025,Venezuela,Brazil,1,1,1.162,0.628
sr:sport_event:54622931,2024-11-19T20:00:00+00:00,sr:season:109025,Bolivia,Paraguay,2,2,1.073,1.133
sr:sport_event:54622933,2024-11-19T23:00:00+00:00,sr:season:109025,Colombia,Ecuador,0,1,2.081,0.247
sr:sport_event:54622939,2024-11-20T00:00:00+00:00,sr:season:109025,Argentina,Peru,1,0,1.519,0.178
sr:sport_event:54622941,2024-11-20T00:45:00+00:00,sr:season:109025,Brazil,Uruguay,1,1,1.313,0.598
sr:sport_event:55623867,2025-03-21T23:30:00+00:00,sr:season:109025,Uruguay,Argentina,0,1,0.16,0.84
sr:sport_event:55623885,2025-03-21T00:45:00+00:00,sr:season:109025,Brazil,Colombia,2,1,1.153,0.657
sr:sport_event:55623887,2025-03-20T23:00:00+00:00,sr:season:109025,Paraguay,Chile,1,0,2.218,0.698
sr:sport_event:55623897,2025-03-21T21:00:00+00:00,sr:season:109025,Ecuador,Venezuela,2,1,1.108,1.351
sr:sport_event:55623909,2025-03-26T00:00:00+00:00,sr:season:109025,Colombia,Paraguay,2,2,1.277,1.807
sr:sport_event:55623917,2025-03-25T20:00:00+00:00,sr:season:109025,Bolivia,Uruguay,0,0,2.334,0.868
sr:sport_event:55623919,2025-03-26T00:00:00+00:00,sr:season:109025,Argentina,Brazil,4,1,1.534,0.257
sr:sport_event:55623921,2025-03-26T00:00:00+00:00,sr:season:109025,Chile,Ecuador,0,0,1.605,0.432
sr:sport_event:55731571,2025-03-21T06:00:00+00:00,sr:season:121357,New Zealand,Fiji,0,0,0.0,0.0
sr:sport_event:56418319,2025-09-05T18:45:00+00:00,sr:season:127075,Slovenia,Sweden,2,2,1.203,0.853
sr:sport_event:56418321,2025-09-05T18:45:00+00:00,sr:season:127075,Switzerland,Kosovo,4,0,1.152,0.608
sr:sport_event:56418323,2025-09-08T18:45:00+00:00,sr:season:127075,Kosovo,Sweden,2,0,1.555,1.095
sr:sport_event:56418325,2025-09-08T18:45:00+00:00,sr:season:127075,Switzerland,Slovenia,3,0,1.69,0.544
sr:sport_event:56418329,2025-10-10T18:45:00+00:00,sr:season:127075,Sweden,Switzerland,0,2,0.977,1.284
sr:sport_event:56418331,2025-10-13T18:45:00+00:00,sr:season:127075,Slovenia,Switzerland,0,0,0.179,0.707
sr:sport_event:56418333,2025-10-13T18:45:00+00:00,sr:season:127075,Sweden,Kosovo,0,1,2.14,0.855
sr:sport_event:56418337,2025-11-15T19:45:00+00:00,sr:season:127075,Switzerland,Sweden,4,1,1.216,0.829
sr:sport_event:56418339,2025-11-18T19:45:00+00:00,sr:season:127075,Kosovo,Switzerland,1,1,0.845,0.695
sr:sport_event:56418341,2025-11-18T19:45:00+00:00,sr:season:127075,Sweden,Slovenia,1,1,1.211,0.893
sr:sport_event:56418457,2025-09-04T18:45:00+00:00,sr:season:127075,Slovakia,Germany,2,0,0.675,1.767
sr:sport_event:56418461,2025-09-07T18:45:00+00:00,sr:season:127075,Germany,Northern Ireland,3,1,1.439,0.317
sr:sport_event:56418465,2025-10-10T18:45:00+00:00,sr:season:127075,Germany,Luxembourg,4,0,2.681,0.099
sr:sport_event:56418467,2025-10-13T18:45:00+00:00,sr:season:127075,Northern Ireland,Germany,0,1,0.88,0.823
sr:sport_event:56418471,2025-11-14T19:45:00+00:00,sr:season:127075,Luxembourg,Germany,0,2,0.69,1.809
sr:sport_event:56418477,2025-11-17T19:45:00+00:00,sr:season:127075,Germany,Slovakia,6,0,3.265,0.815
sr:sport_event:56418483,2025-09-05T18:45:00+00:00,sr:season:127075,Denmark,Scotland,0,0,0.969,0.985
sr:sport_event:56418485,2025-09-08T18:45:00+00:00,sr:season:127075,Belarus,Scotland,0,2,0.484,1.306
sr:sport_event:56418491,2025-10-09T18:45:00+00:00,sr:season:127075,Scotland,Greece,3,1,0.572,0.689
sr:sport_event:56418493,2025-10-12T16:00:00+00:00,sr:season:127075,Scotland,Belarus,2,1,1.271,1.749
sr:sport_event:56418497,2025-11-15T19:45:00+00:00,sr:season:127075,Greece,Scotland,3,2,2.207,1.555
sr:sport_event:56418503,2025-11-18T19:45:00+00:00,sr:season:127075,Scotland,Denmark,4,2,1.574,1.794
sr:sport_event:56418507,2025-09-05T18:45:00+00:00,sr:season:127075,Ukraine,France,0,2,0.551,1.718
sr:sport_event:56418511,2025-09-09T18:45:00+00:00,sr:season:127075,France,Iceland,2,1,1.948,0.779
sr:sport_event:56418515,2025-10-10T18:45:00+00:00,sr:season:127075,France,Azerbaijan,3,0,1.582,0.157
sr:sport_event:56418517,2025-10-13T18:45:00+00:00,sr:season:127075,Iceland,France,2,2,0.745,2.451
sr:sport_event:56418523,2025-11-13T19:45:00+00:00,sr:season:127075,France,Ukraine,4,0,1.947,0.0
sr:sport_event:56418525,2025-11-16T17:00:00+00:00,sr:season:127075,Azerbaijan,France,1,3,0.79,1.664
sr:sport_event:56418529,2025-09-04T16:00:00+00:00,sr:season:127075,Georgia,Turkiye,2,3,0.768,0.77
sr:sport_event:56418531,2025-09-04T18:45:00+00:00,sr:season:127075,Bulgaria,Spain,0,3,0.377,2.565
sr:sport_event:56418535,2025-09-07T18:45:00+00:00,sr:season:127075,Turkiye,Spain,0,6,0.602,2.485
sr:sport_event:56418537,2025-10-11T18:45:00+00:00,sr:season:127075,Bulgaria,Turkiye,1,6,0.716,1.584
sr:sport_event:56418539,2025-10-11T18:45:00+00:00,sr:season:127075,Spain,Georgia,2,0,2.51,0.0
sr:sport_event:56418541,2025-10-14T18:45:00+00:00,sr:season:127075,Turkiye,Georgia,4,1,1.781,1.111
sr:sport_event:56418543,2025-10-14T18:45:00+00:00,sr:season:127075,Spain,Bulgaria,4,0,2.513,0.317
sr:sport_event:56418545,2025-11-15T17:00:00+00:00,sr:season:127075,Georgia,Spain,0,4,0.637,1.004
sr:sport_event:56418547,2025-11-15T17:00:00+00:00,sr:season:127075,Turkiye,Bulgaria,2,0,1.782,0.597
sr:sport_event:56418551,2025-11-18T19:45:00+00:00,sr:season:127075,Spain,Turkiye,2,2,2.318,0.947
sr:sport_event:56418553,2025-09-06T16:00:00+00:00,sr:season:127075,Armenia,Portugal,0,5,0.382,3.086
sr:sport_event:56418559,2025-09-09T18:45:00+00:00,sr:season:127075,Hungary,Portugal,2,3,0.744,2.172
sr:sport_event:56418563,2025-10-11T18:45:00+00:00,sr:season:127075,Portugal,Ireland,1,0,3.37,0.212
sr:sport_event:56418567,2025-10-14T18:45:00+00:00,sr:season:127075,Portugal,Hungary,2,2,1.813,1.647
sr:sport_event:56418571,2025-11-13T19:45:00+00:00,sr:season:127075,Ireland,Portugal,2,0,0.734,1.713
sr:sport_event:56418575,2025-11-16T14:00:00+00:00,sr:season:127075,Portugal,Armenia,9,1,3.911,0.371
sr:sport_event:56418577,2025-03-21T19:45:00+00:00,sr:season:127075,Romania,Bosnia and Herzegovina,0,1,1.294,0.358
sr:sport_event:56418581,2025-03-24T19:45:00+00:00,sr:season:127075,Bosnia and Herzegovina,Cyprus,2,1,1.815,1.307
sr:sport_event:56418585,2025-06-07T13:00:00+00:00,sr:season:127075,Bosnia and Herzegovina,San Marino,1,0,1.352,0.558
sr:sport_event:56418587,2025-06-07T18:45:00+00:00,sr:season:127075,Austria,Romania,2,1,1.228,0.844
sr:sport_event:56418591,2025-06-10T18:45:00+00:00,sr:season:127075,San Marino,Austria,0,4,0.515,1.906
sr:sport_event:56418593,2025-09-06T18:45:00+00:00,sr:season:127075,Austria,Cyprus,1,0,1.192,2.044
sr:sport_event:56418595,2025-09-06T18:45:00+00:00,sr:season:127075,San Marino,Bosnia and Herzegovina,0,6,0.188,2.366
sr:sport_event:56418597,2025-09-09T18:45:00+00:00,sr:season:127075,Bosnia and Herzegovina,Austria,1,2,1.482,1.352
sr:sport_event:56418601,2025-10-09T18:45:00+00:00,sr:season:127075,Austria,San Marino,10,0,3.28,0.566
sr:sport_event:56418603,2025-10-09T18:45:00+00:00,sr:season:127075,Cyprus,Bosnia and Herzegovina,2,2,1.018,1.017
sr:sport_event:56418607,2025-10-12T18:45:00+00:00,sr:season:127075,Romania,Austria,1,0,0.868,0.226
sr:sport_event:56418609,2025-11-15T17:00:00+00:00,sr:season:127075,Cyprus,Austria,0,2,0.218,1.289
sr:sport_event:56418611,2025-11-15T19:45:00+00:00,sr:season:127075,Bosnia and Herzegovina,Romania,3,1,1.103,0.845
sr:sport_event:56418613,2025-11-18T19:45:00+00:00,sr:season:127075,Austria,Bosnia and Herzegovina,1,1,1.377,0.436
sr:sport_event:56418617,2025-03-22T17:00:00+00:00,sr:season:127075,Moldova,Norway,0,5,1.601,2.855
sr:sport_event:56418621,2025-03-25T19:45:00+00:00,sr:season:127075,Israel,Norway,2,4,1.003,1.988
sr:sport_event:56418627,2025-06-06T18:45:00+00:00,sr:season:127075,Norway,Italy,3,0,1.001,0.667
sr:sport_event:56418629,2025-06-09T18:45:00+00:00,sr:season:127075,Estonia,Norway,0,1,0.892,2.396
sr:sport_event:56418639,2025-09-09T18:45:00+00:00,sr:season:127075,Norway,Moldova,11,1,2.999,0.218
sr:sport_event:56418641,2025-10-11T16:00:00+00:00,sr:season:127075,Norway,Israel,5,0,1.9,0.257
sr:sport_event:56418649,2025-11-13T17:00:00+00:00,sr:season:127075,Norway,Estonia,4,1,1.875,0.325
sr:sport_event:56418655,2025-11-16T19:45:00+00:00,sr:season:127075,Italy,Norway,1,4,1.177,1.267
sr:sport_event:56418665,2025-06-06T18:45:00+00:00,sr:season:127075,North Macedonia,Belgium,1,1,0.76,1.322
sr:sport_event:56418671,2025-06-09T18:45:00+00:00,sr:season:127075,Belgium,Wales,4,3,1.001,1.089
sr:sport_event:56418675,2025-09-04T18:45:00+00:00,sr:season:127075,Liechtenstein,Belgium,0,6,0.0,3.775
sr:sport_event:56418679,2025-09-07T18:45:00+00:00,sr:season:127075,Belgium,Kazakhstan,6,0,3.489,0.308
